,WATER_SPECIAL,ICE_STATUS,DARK_SPECIAL,NORMAL_STATUS,STEEL_PHYSICAL,PSYCHIC_SPECIAL,GRASS_SPECIAL,FIRE_SPECIAL,ICE_SPECIAL,ELECTRIC_SPECIAL,FIGHTING_PHYSICAL,FLYING_STATUS,ROCK_PHYSICAL,WATER_PHYSICAL,POISON_PHYSICAL,PSYCHIC_PHYSICAL,PSYCHIC_STATUS,NORMAL_PHYSICAL,POISON_STATUS,GRASS_STATUS,DARK_PHYSICAL,GROUND_PHYSICAL,ROCK_STATUS,ICE_PHYSICAL,DRAGON_SPECIAL,ELECTRIC_STATUS,BUG_PHYSICAL,DARK_STATUS,GROUND_SPECIAL,FLYING_SPECIAL,GHOST_SPECIAL,FIRE_STATUS
psychic&grass_dark,0.0,0.0,308.9,0.0,0.0,0.0,196.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,361.4,135.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.7,0.0,0.0,0.0,0.0,0.0
psychic&grass_poison&flying,0.0,0.0,-271.2,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-202.9,-30.9,0.0,0.0,0.0,0.0,0.0,-28.2,0.0,0.0,-107.2,0.0,0.0,0.0,0.0,0.0
dark&ice_poison&flying,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,-66.1,0.0,0.0,0.0,0.0,0.0,0.0,-51.5,0.0,0.0,-0.8,0.0,0.0,212.8,0.0,0.0,0.0,-6.6,0.0,0.0,0.0,0.0
dark&ice_dark,0.0,0.0,0.0,-33.6,0.0,0.0,0.0,0.0,0.0,0.0,-30.3,0.0,0.0,0.0,0.0,0.0,33.3,-54.4,0.0,0.0,-14.3,0.0,0.0,-28.8,0.0,0.0,-28.0,-17.3,0.0,0.0,0.0,0.0
psychic&grass_dark&ice,0.0,0.0,-131.4,-0.5,0.0,0.0,-71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60.1,59.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-164.6,0.0,0.0,0.0,0.0,0.0
psychic&grass_ground&psychic,0.0,0.0,-16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.7,0.0,0.0,0.0,0.0,0.0
dark_dark,0.0,0.0,0.0,101.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.3,114.8,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,33.6,0.0,0.0,0.0,0.0,0.0
dark_psychic&grass,0.0,0.0,0.0,61.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28.0,0.0,0.0,0.0,0.0,0.0
poison&flying_dark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.6,0.0,0.0,0.0,0.0,0.0,149.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.4,25.5,0.0,0.0,0.0,0.0
poison&flying_steel&psychic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.5,0.0,0.0,0.0,0.0,0.0,151.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.8,94.4,0.0,0.0,0.0,0.0
