,WATER_SPECIAL,ICE_STATUS,DARK_SPECIAL,NORMAL_STATUS,STEEL_PHYSICAL,PSYCHIC_SPECIAL,GRASS_SPECIAL,FIRE_SPECIAL,ICE_SPECIAL,ELECTRIC_SPECIAL,FIGHTING_PHYSICAL,FLYING_STATUS,ROCK_PHYSICAL,WATER_PHYSICAL,POISON_PHYSICAL,PSYCHIC_PHYSICAL,PSYCHIC_STATUS,NORMAL_PHYSICAL,POISON_STATUS,GRASS_STATUS,DARK_PHYSICAL,GROUND_PHYSICAL,ROCK_STATUS,ICE_PHYSICAL,DRAGON_SPECIAL,ELECTRIC_STATUS,BUG_PHYSICAL,DARK_STATUS,GROUND_SPECIAL,FLYING_SPECIAL,GHOST_SPECIAL,FIRE_STATUS
poison&flying_dark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.2,0.0,0.0,0.0,0.0,0.0,107.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.4,79.4,0.0,0.0,0.0,0.0
poison&flying_steel&psychic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.2,0.0,0.0,0.0,0.0,0.0,161.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.0,115.0,0.0,0.0,0.0,0.0
poison&flying_poison&flying,0.0,0.0,-10.8,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.8,0.0,0.0,0.0,0.0,-3.7,40.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.1,23.0,2.0,0.0,0.0,0.0
dark&ice_steel&psychic,0.0,0.0,0.0,-81.2,0.0,0.0,0.0,0.0,0.0,0.0,-105.2,0.0,0.0,0.0,0.0,0.0,0.0,-127.8,0.0,0.0,-90.8,0.0,0.0,26.7,0.0,0.0,0.0,-103.1,0.0,0.0,0.0,0.0
dark&ice_ground&psychic,0.0,0.0,0.0,-12.1,0.0,0.0,0.0,0.0,0.0,0.0,-21.0,0.0,0.0,0.0,0.0,0.0,0.0,-35.5,0.0,0.0,107.9,0.0,0.0,-53.4,0.0,0.0,0.0,-31.9,0.0,0.0,0.0,0.0
dark&ice_psychic&grass,0.0,0.0,0.0,-2.8,0.0,0.0,0.0,0.0,0.0,0.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,169.3,0.0,0.0,117.5,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0
steel&psychic_psychic&grass,0.0,0.0,-68.2,-65.0,-27.6,-52.4,-80.5,0.0,0.0,0.0,0.0,0.0,0.0,-17.3,0.0,0.0,-63.3,51.4,0.0,0.0,0.0,-75.6,0.0,0.0,0.0,0.0,-34.7,0.0,0.0,0.0,0.0,-6.4
steel&psychic_poison&flying,-18.7,0.0,-91.0,-22.7,-92.3,-58.4,-90.8,0.0,0.0,-27.0,-39.2,0.0,-10.5,-12.4,0.0,0.0,-101.4,-65.7,0.0,-11.0,0.0,-165.9,0.0,-7.6,0.0,0.0,-102.4,-18.9,0.0,0.0,0.0,-29.5
steel&psychic_dark,34.9,0.0,-49.5,3.5,29.6,-81.5,-95.3,0.0,0.0,0.0,51.8,0.0,53.8,0.0,0.0,0.0,9.5,-7.7,0.0,0.0,0.0,116.1,0.0,0.0,0.0,0.0,118.2,0.0,0.0,0.0,0.0,2.6
dark_poison&flying,0.0,0.0,0.0,-3.0,-12.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.8,0.0,-12.5,0.0,0.0,0.0
ground&psychic_psychic&grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.9,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,-29.7,0.0,0.0,0.0
ground&psychic_steel&psychic,0.0,0.0,0.0,0.0,-13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.7,0.0,0.0,0.0,0.0,-138.6,0.0,0.0,0.0,0.0,0.0,-182.6,0.0,0.0,0.0
dark&ice_dark&ice,0.0,0.0,0.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,120.8,0.0,0.0,15.0,0.0,0.0,100.5,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0
poison&flying_dark&ice,0.0,0.0,0.0,-14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8,0.0,0.0,0.0,0.0,0.0,-79.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.6,-70.2,-1.7,0.0,0.0,0.0
psychic&grass_steel&psychic,0.0,0.0,43.6,0.0,0.0,0.0,117.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.8,48.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.9,0.0,0.0,0.0,0.0,0.0
ground&psychic_ground&psychic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,-14.3,0.0,0.0,0.0,0.0,0.0,-39.5,0.0,0.0,0.0
steel&psychic_ground&psychic,0.0,0.0,3.2,11.8,93.7,0.1,17.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,121.6,0.0,0.0,0.0,-34.3,0.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0
water_water,18.3,-9.0,6.5,-5.8,-10.7,0.0,0.0,0.0,0.0,0.0,-7.3,0.0,0.0,-0.3,-6.1,0.0,-7.0,20.6,0.0,0.0,0.0,-5.2,0.0,0.0,0.0,0.0,0.0,-12.0,0.0,0.0,0.0,0.0
steel&psychic_water,0.0,0.0,-6.0,18.1,19.2,13.7,118.9,0.0,0.0,-10.2,-71.9,0.0,0.0,0.0,0.0,0.0,-25.9,178.1,-12.0,0.0,0.0,130.5,-1.1,0.0,0.0,0.0,186.5,0.0,0.0,0.0,0.0,0.0
steel&psychic_water&poison,0.0,0.0,-50.7,-112.5,-21.0,0.1,-76.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.2,75.4,0.0,0.0,0.0,8.8,0.0,0.0,0.0,0.0,-123.2,0.0,0.0,0.0,0.0,0.0
bug&fighting_water&poison,0.0,0.0,0.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,-2.3,0.0,0.0,0.0,0.0,0.0,0.0,229.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0
bug&fighting_steel&psychic,0.0,0.0,0.0,-29.0,0.0,0.0,0.0,0.0,0.0,0.0,37.4,0.0,0.0,0.0,0.0,0.0,0.0,19.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.2,0.0,0.0,0.0,0.0,0.0
fighting_normal&flying,0.0,0.0,0.0,-26.8,0.0,0.0,0.0,0.0,0.0,0.0,-94.0,0.0,0.0,-9.9,0.0,0.0,-28.7,12.2,0.0,0.0,-33.3,24.9,0.0,0.0,0.0,0.0,-9.5,0.0,0.0,-12.8,0.0,0.0
normal&flying_normal&flying,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,38.8,0.0,0.0,1.6,0.0,0.0,4.3,2.5,0.0,0.0,-10.7,0.0,0.0,0.0,0.0,17.6,0.0,0.0,0.0,66.6,0.0,0.0
normal&flying_bug&fighting,0.0,0.0,0.0,-40.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.7,0.0,0.0,0.0,44.8,0.0,0.0
water&poison_bug&fighting,-68.5,0.0,0.0,-62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.2,-99.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water&poison_fighting,17.1,0.0,0.0,-7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.5,68.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
