,NORMAL_STATUS,WATER_PHYSICAL,NORMAL_PHYSICAL,POISON_PHYSICAL,WATER_SPECIAL,PSYCHIC_STATUS,FIGHTING_PHYSICAL,DARK_PHYSICAL,FLYING_SPECIAL,ELECTRIC_STATUS,BUG_PHYSICAL,ICE_STATUS,DARK_SPECIAL,FLYING_STATUS,ROCK_PHYSICAL,STEEL_PHYSICAL,PSYCHIC_SPECIAL,GRASS_SPECIAL,FIRE_SPECIAL,ICE_SPECIAL,ELECTRIC_SPECIAL,POISON_STATUS,ROCK_STATUS,GROUND_PHYSICAL,ICE_PHYSICAL,DRAGON_SPECIAL,GRASS_STATUS,PSYCHIC_PHYSICAL,GHOST_SPECIAL,FIRE_STATUS,DARK_STATUS,GROUND_SPECIAL
fire&flying_psychic,-207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-215.5,0.0,0.0,0.0,0.0,-228.7,0.0,0.0,-218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fire&flying_normal,172.3,0.0,203.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.8,0.0,0.0,0.0,0.0,179.6,0.0,0.0,170.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fire&flying_ghost&dark,147.1,0.0,124.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.6,0.0,0.0,0.0,0.0,245.8,0.0,0.0,138.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
steel_grass&fighting,0.0,0.0,81.3,0.0,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.1,-42.5,0.0,-47.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_ghost&dark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.2,0.0,0.0,0.0,0.0,0.0,51.7,0.0,0.0,195.5,0.0,0.0,0.0,0.0,0.0
grass_steel&psychic,0.0,0.0,-38.3,0.0,0.0,0.0,-11.6,14.7,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,-12.5,0.0,0.0,0.0,-12.2,0.0,38.8,0.0,0.0,-16.4,0.0,0.0,0.0,0.0,0.0
grass_dark&ice,-0.0,0.0,7.0,0.0,0.0,0.0,0.0,-4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,0.0,0.0,0.0,0.0,0.0,14.6,0.0,0.0,12.9,0.0,0.0,0.0,0.0,0.0
grass_grass&fighting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.2,0.0,0.0,0.0,0.0,0.0,-25.1,0.0,0.0,-31.1,0.0,0.0,0.0,0.0,0.0
grass_normal,0.0,0.0,2.8,0.0,0.0,0.0,0.0,17.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.3,0.0,0.0,0.0,0.0,0.0,177.8,0.0,0.0,81.7,0.0,0.0,0.0,0.0,0.0
water&dragon_normal,0.0,0.0,114.5,0.0,-37.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.1,0.0,0.0,0.0,0.0,0.0,0.0
